Subject,Type,x.4.1,y.4.1,x.4.4,y.4.4,x.4.5,y.4.5,x.4.3,y.4.3,x.4.2,y.4.2
4,Fall,0.299551706,0.099315635,0.057040699,0.058383603,0.054764244,0.058312991,545.1134713,59.14538958,0.266666667,0.3
4,Fall,0.246815901,0.138342939,0.060734757,0.052423599,0.061437319,0.049006005,365.3240802,116.5895906,0.3,0.233333333
4,Fall,0.31992888,0.100843377,0.035951451,0.065331312,0.032601694,0.066574465,621.7457911,61.08065677,0.183333333,0.3
49,Fall,0.244475298,0.190859579,0.049964415,0.053743112,0.05022423,0.054990339,365.3469648,218.5494624,0.216666667,0.25
49,Fall,0.304847824,0.145638449,0.050795859,0.056644542,0.051358563,0.056423042,562.2278621,127.1880608,0.216666667,0.283333333
49,Fall,0.233041177,0.108657191,0.060633807,0.055077165,0.062496731,0.055055489,325.7386376,71.07048866,0.3,0.283333333
51,Fall,0.147428547,0.071504351,0.06350104,0.067977347,0.062311891,0.061730833,130.4191574,30.95550678,0.316666667,0.3
51,Fall,0.180005841,0.075930869,0.05890421,0.060999099,0.057273052,0.059466175,194.4192471,34.62004218,0.3,0.3
51,Fall,0.225130315,0.190953227,0.035541075,0.046342554,0.033440518,0.046528776,312.9957719,218.4925589,0.15,0.216666667
52,Fall,0.121638578,0.071856282,0.059011346,0.065698938,0.059358493,0.0660782,89.73937316,31.1718518,0.266666667,0.3
52,Fall,0.248007022,0.082687088,0.035379924,0.069551064,0.035556074,0.068885487,375.1386075,40.99786876,0.166666667,0.333333333
52,Fall,0.157315172,0.061406967,0.055136212,0.077679261,0.052554073,0.072748914,150.943782,22.72764705,0.233333333,0.366666667
56,Fall,0.115728113,0.129840881,0.073521924,0.044394121,0.069700645,0.04341505,81.02191965,103.2803815,0.333333333,0.183333333
56,Fall,0.191221069,0.106199698,0.049215374,0.047932909,0.04892075,0.044791679,219.4554377,69.11373656,0.233333333,0.2
56,Fall,0.180596218,0.079734959,0.051044316,0.062193044,0.049269752,0.05993483,198.2887284,38.38536989,0.216666667,0.283333333
64,Fall,0.177723001,0.0783862,0.059698049,0.073208616,0.061154948,0.072108402,190.4434255,36.93225047,0.266666667,0.35
64,Fall,0.225873775,0.070256037,0.052683277,0.071608267,0.052634478,0.066950528,305.9822798,29.51892754,0.266666667,0.35
64,Fall,0.224207438,0.068865749,0.037948775,0.071489438,0.035767638,0.07249753,309.4711757,28.6037165,0.166666667,0.316666667
72,Fall,0.115710384,0.054685251,0.050821745,0.074064963,0.053387528,0.074384251,81.03549082,17.9699808,0.233333333,0.333333333
72,Fall,0.096476743,0.105779885,0.071315554,0.059123694,0.071307349,0.056880223,56.35055365,67.44105676,0.3,0.266666667
72,Fall,0.125369061,0.095866536,0.071706911,0.068389826,0.075229522,0.066520631,94.13330455,55.48491082,0.333333333,0.333333333
75,Fall,0.132019408,0.086757738,0.077514388,0.060281606,0.073821501,0.058500415,105.1222015,45.22997758,0.35,0.3
75,Fall,0.13914424,0.086749268,0.06516656,0.062183178,0.061165694,0.059802976,116.0210891,45.21907851,0.316666667,0.283333333
75,Fall,0.109363011,0.097108039,0.066907332,0.052374996,0.064817458,0.052492455,71.70613078,57.32239693,0.333333333,0.233333333
78,Fall,0.260657145,0.057928886,0.03433021,0.073582462,0.033615438,0.067930562,409.945659,20.18625191,0.166666667,0.35
78,Fall,0.187357891,0.084620976,0.044937891,0.062186233,0.046268884,0.064453806,215.0327479,43.35069814,0.2,0.3
78,Fall,0.225855247,0.086287579,0.030198049,0.063900849,0.030078427,0.062980341,312.1437162,44.73553229,0.133333333,0.3
79,Fall,0.084484348,0.041246356,0.065918649,0.08594939,0.066369211,0.08455202,42.82199679,10.22452432,0.333333333,0.4
79,Fall,0.134208743,0.063682816,0.049577697,0.059276567,0.049495214,0.056894464,110.3009025,24.79361336,0.216666667,0.233333333
79,Fall,0.178806076,0.085700811,0.046368463,0.064112574,0.046887077,0.062308637,195.6294909,43.98319163,0.2,0.3
81,Fall,0.142422338,0.06893752,0.045041346,0.079610465,0.044199168,0.078503174,122.9724296,28.48198519,0.2,0.383333333
81,Fall,0.200036938,0.061338854,0.049518909,0.067886804,0.049299134,0.063457084,240.0647605,22.5792356,0.25,0.35
81,Fall,0.180540312,0.091041065,0.05285641,0.050619408,0.053720865,0.052587224,198.4124424,50.59797378,0.216666667,0.216666667
82,Fall,0.114235526,0.145545398,0.056417493,0.052574906,0.042097583,0.053021098,78.50200799,127.4247899,0.266666667,0.25
82,Fall,0.101121642,0.0748702,0.057998747,0.059507192,0.059320706,0.056015029,61.53360503,34.04515487,0.266666667,0.25
82,Fall,0.169962034,0.132513242,0.06190143,0.053319227,0.061710844,0.0544842,173.8584119,105.7648953,0.3,0.25
85,Fall,0.145613714,0.047348611,0.057255916,0.069570157,0.058267174,0.068857622,126.8147078,13.46636544,0.266666667,0.333333333
