Subject,Type,x.2.1,y.2.1,x.2.4,y.2.4,x.2.5,y.2.5,x.2.3,y.2.3,x.2.2,y.2.2
4,Fall,0.17981527,0.115523008,0.131473946,0.099839026,0.088055309,0.043986718,194.3043146,80.39983861,0.466666667,0.45
4,Fall,0.059062039,0.051342049,0.340813364,0.143411945,0.279223044,0.056571886,20.92913509,15.80609145,1.15,0.683333333
4,Fall,0.072725039,0.049576469,0.301694858,0.151817,0.226200441,0.068744706,31.75709736,14.74594467,1.05,0.583333333
49,Fall,0.238996618,0.102958691,0.237689964,0.251357073,0.216638055,0.229696092,342.9613451,63.42093644,0.85,0.866666667
49,Fall,0.174272375,0.112124539,0.326922107,0.289133501,0.304837411,0.251506308,182.2268971,75.45589873,1.116666667,1.016666667
49,Fall,0.160476508,0.079881862,0.278119401,0.279699605,0.256134296,0.20915678,154.5801798,38.33280219,0.966666667,1.016666667
51,Fall,0.092086012,0.028144202,0.26162732,0.319050313,0.198293077,0.202687319,50.91061995,4.754894198,0.9,1.166666667
51,Fall,0.102531196,0.06556804,0.26320716,0.241663607,0.207640343,0.142928451,63.07528602,25.80695108,0.966666667,0.916666667
51,Fall,0.09877974,0.064605634,0.262600884,0.202533511,0.220708871,0.127619494,58.54255548,24.87562984,0.95,0.733333333
52,Fall,0.038859874,0.013870085,0.360880352,0.38589314,0.297711514,0.297457536,9.06525957,1.154504721,1.183333333,1.183333333
52,Fall,0.05236044,0.021106196,0.310246481,0.366942519,0.22831881,0.255468091,16.45911772,2.673854921,1.083333333,1.266666667
52,Fall,0.05123512,0.03544527,0.275421438,0.25647641,0.158346951,0.151852543,15.76099625,7.571156462,1.033333333,0.833333333
56,Fall,0.150833611,0.103485864,0.200688505,0.221153695,0.14324637,0.110189171,137.0604735,64.26211132,0.683333333,0.9
56,Fall,0.083180729,0.057865764,0.260984284,0.224588619,0.154924066,0.117522677,41.50670822,20.09650136,0.966666667,0.883333333
56,Fall,0.123111969,0.040003459,0.205875206,0.217112853,0.11321581,0.091678088,90.99782667,9.605952538,0.783333333,0.933333333
64,Fall,0.088390939,0.057301297,0.336948176,0.16650832,0.253642897,0.089650926,46.87563059,19.70152694,1.266666667,0.583333333
64,Fall,0.071082262,0.04004818,0.326528845,0.206236454,0.235345051,0.140064285,30.29006523,9.626342646,1.1,0.8
64,Fall,0.064608531,0.031843391,0.305073767,0.222463544,0.232645349,0.134708013,25.05745198,6.09276533,1.15,0.833333333
72,Fall,0.097310765,0.031578209,0.290141383,0.303323317,0.222885664,0.189835844,56.8439174,5.97387683,1.033333333,0.95
72,Fall,0.072040607,0.065311282,0.350338999,0.277958644,0.272781237,0.201102039,31.15018715,25.60399495,1.183333333,0.916666667
72,Fall,0.069404733,0.059310199,0.334647532,0.263663635,0.293558171,0.159544378,28.91925303,21.12002858,1.1,1.033333333
75,Fall,0.104148876,0.048633325,0.302772387,0.241974891,0.26491046,0.159648288,65.10871041,14.19055828,1.033333333,0.85
75,Fall,0.121258594,0.069646492,0.270975846,0.276929267,0.232210965,0.202201727,88.04992644,29.11965459,0.966666667,1.05
75,Fall,0.112891422,0.078325909,0.273785847,0.205955664,0.226609291,0.176919946,76.50911251,36.78574925,0.966666667,0.716666667
78,Fall,0.192386921,0.091244205,0.240726862,0.207457223,0.229808647,0.115556727,222.0380794,49.99510407,0.933333333,0.816666667
78,Fall,0.204684689,0.065365656,0.230858728,0.252834489,0.203136877,0.184508751,251.4389254,25.6598917,0.883333333,0.883333333
78,Fall,0.198193195,0.063930147,0.236948879,0.263484365,0.214869051,0.190627864,235.5389253,24.54455656,0.9,0.916666667
79,Fall,0.156445591,0.083825494,0.178732975,0.196717861,0.083172858,0.073778207,146.7361829,42.16842,0.85,0.866666667
79,Fall,0.063142666,0.063850411,0.262233538,0.180241076,0.176295335,0.09298932,23.93006998,24.47400076,0.933333333,0.683333333
79,Fall,0.066337992,0.032975243,0.281953288,0.272642276,0.186760863,0.182235314,26.42390669,6.529248249,1,0.95
81,Fall,0.257146877,0.102346579,0.205185964,0.204108363,0.138871778,0.05846529,396.9241106,62.90239731,0.933333333,0.933333333
81,Fall,0.190242116,0.118571607,0.22731476,0.192865092,0.148854686,0.147401612,217.1888277,84.39648155,0.916666667,0.75
81,Fall,0.173719519,0.092706974,0.20210969,0.200954997,0.161464931,0.12785244,181.4082942,51.58418566,0.783333333,0.816666667
82,Fall,0.216323863,0.103237663,0.191496048,0.185800353,0.157339005,0.094222399,279.7072504,63.99142998,0.766666667,0.766666667
82,Fall,0.114312288,0.076927674,0.220152342,0.140086329,0.181347991,0.062830628,78.47580139,35.5374514,0.833333333,0.633333333
82,Fall,0.127367316,0.097306939,0.187406457,0.189211616,0.124907073,0.09084797,97.38593727,56.75056427,0.7,0.766666667
85,Fall,0.352446673,0.088585387,0.23396845,0.258938274,0.147484546,0.176061331,745.5579914,47.07794097,0.966666667,0.916666667
85,Fall,0.345452867,0.164966537,0.230392737,0.216382248,0.200430522,0.152050194,716.4128368,163.6789004,0.883333333,0.8
85,Fall,0.241866828,0.113555903,0.280349075,0.276843981,0.208001503,0.240017007,351.1301097,77.36287005,1.116666667,0.966666667
86,Fall,0.047612562,0.027834759,0.248998889,0.205157636,0.189128886,0.104380417,13.61528825,4.651757643,0.766666667,0.9
86,Fall,0.065074262,0.014575029,0.226997026,0.293246426,0.17460761,0.195970455,25.41559867,1.271397702,0.816666667,1.15
86,Fall,0.064025922,0.036255681,0.230452954,0.142437467,0.151949947,0.065178394,24.61695438,7.916215691,0.833333333,0.55
92,Fall,0.267229857,0.161638029,0.238319313,0.169453114,0.127882098,0.075733157,428.7360567,156.1758602,1,0.85
92,Fall,0.275294943,0.161734305,0.284778698,0.220535089,0.218441918,0.17471642,454.9111975,156.9825471,1.066666667,0.783333333
92,Fall,0.177588288,0.085805461,0.30294444,0.178760947,0.226685198,0.107405627,189.420298,44.21674568,1.066666667,0.7
95,Fall,0.126228519,0.024669789,0.252932518,0.288053612,0.156118747,0.185101601,95.64442608,3.649145443,0.983333333,1.1
95,Fall,0.098115347,0.020948676,0.246653685,0.300610345,0.187839465,0.195587968,57.80109777,2.634604808,0.916666667,0.933333333
95,Fall,0.066364358,0.017253118,0.259038525,0.381522963,0.162856415,0.28991335,26.4323774,1.786555756,0.966666667,1.416666667
