Subject,Type,x.3.1,y.3.1,x.3.4,y.3.4,x.3.5,y.3.5,x.3.3,y.3.3,x.3.2,y.3.2
4,Fall,0.228609944,0.181246301,0.098565857,0.073317863,0.091736047,0.060229474,314.7307456,197.2486333,0.416666667,0.35
4,Fall,0.201444582,0.128178518,0.098368162,0.077291944,0.086170025,0.043020715,243.8265305,98.58305731,0.433333333,0.383333333
4,Fall,0.268630458,0.101537701,0.083397722,0.089297974,0.075456563,0.057080406,432.9753417,61.21038147,0.383333333,0.433333333
49,Fall,0.281868441,0.134522234,0.09993766,0.108781936,0.092808048,0.105602835,477.0599349,109.1583401,0.45,0.45
49,Fall,0.275174579,0.159257541,0.128309681,0.098340198,0.126054738,0.089971646,457.6526225,151.9940567,0.5,0.433333333
49,Fall,0.219975968,0.155160098,0.103992257,0.106403438,0.099414814,0.091914184,288.6678948,144.4439612,0.45,0.483333333
51,Fall,0.138714798,0.077860763,0.126648273,0.107678365,0.122175483,0.103146804,115.5753993,36.5675771,0.533333333,0.4
51,Fall,0.213479511,0.074336314,0.103928338,0.120564794,0.096404136,0.114480512,273.5364881,33.08949395,0.466666667,0.533333333
51,Fall,0.163853277,0.115994184,0.084685342,0.088801728,0.075829614,0.08418469,161.962283,80.80676414,0.366666667,0.366666667
52,Fall,0.072850959,0.038986615,0.141780377,0.12476645,0.128593906,0.093020344,31.70735438,9.114643652,0.583333333,0.516666667
52,Fall,0.112636244,0.062045571,0.102959543,0.12054173,0.097693646,0.105353966,76.49588153,23.05721354,0.4,0.5
52,Fall,0.062534733,0.064224589,0.164286774,0.102331123,0.149357588,0.094447951,23.48055104,24.84110913,0.633333333,0.4
56,Fall,0.135008239,0.069808238,0.140955512,0.126283892,0.132802485,0.120681456,109.4037095,29.28043967,0.566666667,0.533333333
56,Fall,0.169571151,0.059524943,0.091571679,0.133089745,0.07846755,0.118485072,172.7203572,21.33125288,0.416666667,0.533333333
56,Fall,0.165030704,0.048760301,0.097473076,0.135802236,0.071863547,0.113257012,164.3457665,14.27714162,0.416666667,0.566666667
64,Fall,0.118917404,0.070427816,0.139010246,0.145308223,0.114656354,0.127546169,84.93873949,29.77261865,0.516666667,0.6
64,Fall,0.123257177,0.061816799,0.113508586,0.140813716,0.097967839,0.134396694,91.15874428,22.99346121,0.483333333,0.516666667
64,Fall,0.165978947,0.084496279,0.082045129,0.122622759,0.066940106,0.089588221,164.9683085,42.65839963,0.366666667,0.533333333
72,Fall,0.102969214,0.041307874,0.125064248,0.177273135,0.118027906,0.167002329,63.63364816,10.24309128,0.483333333,0.666666667
72,Fall,0.112637227,0.057616003,0.135568419,0.187469981,0.133047431,0.180598761,76.35539473,19.92198796,0.533333333,0.75
