Subject,Type,x.6.1,y.6.1,x.6.4,y.6.4,x.6.5,y.6.5,x.6.3,y.6.3,x.6.2,y.6.2
4,Fall,0.177505794,0.066489634,0.016080661,0.014625963,0.015678052,0.013830355,192.1914178,27.35454586,0.083333333,0.066666667
4,Fall,0.310839891,0.057753842,0.015793278,0.018097418,0.014588747,0.01740318,589.6420908,20.84745609,0.083333333,0.083333333
4,Fall,0.158962223,0.024915101,0.008589847,0.012729748,0.008455002,0.011130503,164.1430429,3.670637316,0.05,0.066666667
49,Fall,0.250707815,0.123869115,0.014414179,0.012861725,0.01365335,0.012795193,367.6106594,94.81851199,0.083333333,0.066666667
49,Fall,0.186843584,0.074545704,0.014284662,0.013204618,0.014822612,0.011729262,208.1196426,35.03774772,0.083333333,0.066666667
49,Fall,0.129445098,0.072591203,0.018315019,0.016843683,0.016581638,0.016476389,101.9918159,31.48042697,0.116666667,0.1
51,Fall,0.106599074,0.073579323,0.016187416,0.016477724,0.015697208,0.013958823,68.16952725,32.61040214,0.083333333,0.083333333
51,Fall,0.133035634,0.078183546,0.011404261,0.009016356,0.011033773,0.009020834,111.3845164,39.15538715,0.066666667,0.05
51,Fall,0.17188101,0.135667603,0.013154183,0.005031142,0.013727635,0.004600943,187.9409302,118.2392744,0.066666667,0.016666667
52,Fall,0.101538993,0.034736366,0.018790358,0.015251467,0.019025702,0.014917751,63.0131257,7.616522426,0.1,0.083333333
52,Fall,0.14249388,0.087596807,0.008947657,0.014705591,0.008591643,0.014810357,127.0350089,46.53763534,0.05,0.083333333
52,Fall,0.173447624,0.05389228,0.016926286,0.018414793,0.016160842,0.017986466,185.5760566,17.78306369,0.083333333,0.1
56,Fall,0.225652696,0.20670476,0.013280368,0.013717598,0.013348717,0.013376082,314.9395392,263.6725039,0.066666667,0.066666667
56,Fall,0.324256406,0.352720272,0.007951951,0.007076055,0.008367945,0.007209683,663.9025985,777.416472,0.033333333,0.033333333
